system_name...1,district,school_name,fac_schtype,system_name...5,total,perc_frl,perc_black,perc_hisp,perc_white,perc_migrant,perc_esol,harsh
Appling County,Appling County,Appling County High School,H,Appling County,970,90.41,22,12,61,5,1.4,101
Appling County,Appling County,Appling County Elementary School,E,Appling County,551,90.38,29,22,44,10,13.1,19
Appling County,Appling County,Appling County Middle School,M,Appling County,795,90.44,24,16,55,6,3.8,120
Appling County,Appling County,Appling County Primary School,E,Appling County,516,90.31,25,24,45,11,20.3,48
Appling County,Appling County,Altamaha Elementary School,E,Appling County,378,90.48,10,7,80,2,5,10
Appling County,Appling County,Fourth District Elementary School,E,Appling County,152,90.13,10,13,74,3,7.9,35
Atkinson County,Atkinson County,Atkinson County High School,H,Atkinson County,478,80.13,17,37,45,5,2.9,20
Atkinson County,Atkinson County,Atkinson County Middle School,M,Atkinson County,374,85.56,14,42,42,8,4.5,8
Atkinson County,Atkinson County,Willacoochee Elementary School,E,Atkinson County,162,90.12,27,27,46,10,9.9,1
Atkinson County,Atkinson County,Pearson Elementary School,E,Atkinson County,569,85.94,14,45,39,11,23.9,40
Bacon County,Bacon County,Bacon County Primary School,E,Bacon County,468,86.54,22,15,57,5,8.3,13
Bacon County,Bacon County,Bacon County Middle School,M,Bacon County,494,68.22,21,15,59,6,1.8,71
Bacon County,Bacon County,Bacon County High School,H,Bacon County,591,58.04,17,12,67,4,1.2,54
Bacon County,Bacon County,Bacon County Elementary School,E,Bacon County,495,86.46,22,15,57,5,7.3,35
Baker County,Baker County,Baker County K12 School,K12,Baker County,271,94.1,60,12,23,2,0,31
Baldwin County,Baldwin County,Oak Hill MS,M,Baldwin County,1162,92.86,72,3,21,0,0.6,477
Baldwin County,Baldwin County,Baldwin High School,H,Baldwin County,1204,92.86,72,2,22,0,0.3,66
Baldwin County,Baldwin County,Lakeview Academy,E,Baldwin County,680,92.79,64,4,26,0,1.9,121
Baldwin County,Baldwin County,Midway Hills Primary,E,Baldwin County,558,92.83,62,1,31,0,0,28
Baldwin County,Baldwin County,Lakeview Primary,E,Baldwin County,687,92.87,57,4,30,0,2.8,68
Baldwin County,Baldwin County,Midway Hills Academy,E,Baldwin County,564,92.73,67,1,27,0,0,136
Banks County,Banks County,Banks County Middle School,M,Banks County,695,61.01,1,10,86,0,1.7,67
Banks County,Banks County,Banks County Elementary School,E,Banks County,606,65.68,2,10,82,0,6.1,0
Banks County,Banks County,Banks County High School,H,Banks County,843,51.01,2,9,87,0,1.5,45
Banks County,Banks County,Banks County Primary School,E,Banks County,594,60.1,2,7,88,0,3.5,3
Barrow County,Barrow County,Apalachee High School,H,Barrow County,1887,53.68,15,21,56,0,3.9,253
Barrow County,Barrow County,County Line Elementary School,E,Barrow County,521,63.34,7,19,61,1,14.2,23
Barrow County,Barrow County,Haymon-Morris Middle School,M,Barrow County,851,57.23,12,21,57,0,3.5,44
Barrow County,Barrow County,Bear Creek Middle School,M,Barrow County,1975,57.26,14,20,59,0,3.7,47
Barrow County,Barrow County,Kennedy Elementary School,E,Barrow County,840,73.1,19,23,46,0,15,23
Barrow County,Barrow County,Bramlett Elementary School,E,Barrow County,662,44.71,6,15,67,0,12.1,5
Barrow County,Barrow County,Westside Middle School,M,Barrow County,1274,69.42,14,19,56,0,4.3,89
Barrow County,Barrow County,Bethlehem Elementary School,E,Barrow County,1161,63.31,9,23,60,0,12.5,6
Barrow County,Barrow County,Russell Middle School,M,Barrow County,978,61.66,14,17,58,0,2.8,67
Barrow County,Barrow County,Yargo Elementary School,E,Barrow County,806,61.04,16,18,57,0,14,11
Barrow County,Barrow County,Winder Elementary School,E,Barrow County,622,78.62,21,18,47,0,11.1,72
Barrow County,Barrow County,Auburn Elementary School,E,Barrow County,630,80,6,19,60,0,12.9,54
Barrow County,Barrow County,Winder-Barrow High School,H,Barrow County,2075,50.46,14,18,57,0,2.4,139
Barrow County,Barrow County,Holsenbeck Elementary School,E,Barrow County,698,71.49,9,20,61,0,14,14
Barrow County,Barrow County,Statham Elementary School,E,Barrow County,745,69.8,15,17,58,0,11.3,6
Bartow County,Bartow County,Woodland Middle School at Euharlee,M,Bartow County,717,52.3,8,8,79,0,0.7,109
Bartow County,Bartow County,Clear Creek Elementary School,E,Bartow County,572,51.57,2,7,84,0,3.3,18
Bartow County,Bartow County,Adairsville High School,H,Bartow County,977,43.3,7,7,82,0,1.1,86
Bartow County,Bartow County,Pine Log Elementary,E,Bartow County,367,58.31,1,6,89,0,3.5,3
Bartow County,Bartow County,Euharlee Elementary School,E,Bartow County,416,50.72,10,9,76,0,2.6,20
Bartow County,Bartow County,Cass High School,H,Bartow County,1518,51.38,16,17,61,0,2.9,119
Bartow County,Bartow County,Cloverleaf Elementary,E,Bartow County,628,65.29,16,18,57,0,12.1,10
Bartow County,Bartow County,White Elementary School,E,Bartow County,523,59.08,15,15,63,0,8.4,36
Bartow County,Bartow County,Adairsville Elementary School,E,Bartow County,668,52.1,10,5,78,0,2.2,9
Bartow County,Bartow County,Mission Road Elementary School,E,Bartow County,442,55.66,8,14,73,0,6.8,3
Bartow County,Bartow County,South Central Middle School,M,Bartow County,626,17.24,9,22,63,0,2.9,164
Bartow County,Bartow County,Cass Middle School,M,Bartow County,978,62.07,14,18,61,0,4.1,144
Bartow County,Bartow County,Allatoona Elementary School,E,Bartow County,415,75.18,5,33,56,0,23.1,11
Bartow County,Bartow County,Woodland High School,H,Bartow County,2993,44.01,7,15,75,0,1,129
Bartow County,Bartow County,Kingston Elementary School,E,Bartow County,460,77.17,19,22,53,0,13.5,26
Bartow County,Bartow County,Adairsville Middle School,M,Bartow County,786,50.76,4,8,84,0,1,138
Bartow County,Bartow County,Hamilton Crossing Elementary School,E,Bartow County,526,53.61,8,21,63,0,14.4,52
Bartow County,Bartow County,Taylorsville Elementary School,E,Bartow County,476,51.89,5,10,80,0,3.2,45
Bartow County,Bartow County,Emerson Elementary School,E,Bartow County,367,73.3,5,15,75,0,7.9,19
Ben Hill County,Ben Hill County,Ben Hill Elementary School,E,Ben Hill County,722,91.69,44,10,41,1,2.6,36
Ben Hill County,Ben Hill County,Ben Hill County Primary School,E,Ben Hill County,672,91.67,44,10,43,1,7.3,74
Ben Hill County,Ben Hill County,Fitzgerald High School,H,Ben Hill County,824,91.63,41,13,43,0,1,92
Ben Hill County,Ben Hill County,Ben Hill County Middle School,M,Ben Hill County,728,91.62,46,14,37,1,0.8,153
Berrien County,Berrien County,Berrien High School,H,Berrien County,804,83.46,13,9,74,2,1,86
Berrien County,Berrien County,Berrien Academy Performance Learning Center,H,Berrien County,66,83.33,3,6,89,0,0,7
Berrien County,Berrien County,Berrien Middle School,M,Berrien County,761,83.57,14,9,74,2,0.7,80
Berrien County,Berrien County,Berrien Elementary School,E,Berrien County,698,83.52,11,8,76,2,2.4,25
Berrien County,Berrien County,Berrien Primary School,E,Berrien County,681,83.55,15,7,72,2,3.5,43
Bibb County,Bibb County,Skyview Elementary School,E,Bibb County,415,61.4,34,4,57,0,0.5,31
Bibb County,Bibb County,Burdell Elementary School,E,Bibb County,453,92.97,95,2,1,0,2.4,75
Bibb County,Bibb County,Howard High School,H,Bibb County,1200,62.13,64,4,25,0,1.3,441
Bibb County,Bibb County,Ballard Hudson Middle School,M,Bibb County,701,92.66,94,2,2,0,0,938
Bibb County,Bibb County,Bruce Elementary School,E,Bibb County,389,81.08,92,2,5,0,0,50
Bibb County,Bibb County,Academy For Classical Education,K12,Bibb County,1708,11.64,16,3,71,0,1.1,70
Bibb County,Bibb County,Central High School,H,Bibb County,2217,92.94,89,2,5,0,0,281
Bibb County,Bibb County,Westside High School,H,Bibb County,2014,90.38,87,4,6,0,0.2,822
Bibb County,Bibb County,Vineville Academy,E,Bibb County,512,92.92,79,6,12,0,0.4,18
Bibb County,Bibb County,Rutland High School,H,Bibb County,948,84.6,43,11,41,0,2.4,216
Bibb County,Bibb County,Howard Middle School,M,Bibb County,1009,93.27,68,6,20,0,1.8,373
Bibb County,Bibb County,Northeast High School,H,Bibb County,729,63.93,95,1,2,0,0,278
Bibb County,Bibb County,Miller Magnet Middle School,M,Bibb County,582,77.23,88,3,6,0,0,84
Bibb County,Bibb County,Rutland Middle School,M,Bibb County,821,93.94,47,12,36,0,3,402
Bibb County,Bibb County,Price Academy,M,Bibb County,28,48.62,32,4,57,0,0,33
Bibb County,Bibb County,Williams Elementary School,E,Bibb County,303,94.39,97,0,2,0,0,75
Bibb County,Bibb County,Southwest High School,H,Bibb County,874,94.33,94,3,2,0,0,522
Bibb County,Bibb County,Rosa Taylor Elementary School,E,Bibb County,535,93.2,73,5,15,0,3.9,94
Bibb County,Bibb County,Weaver Middle School,M,Bibb County,940,75.85,85,7,5,0,3.6,843
Bibb County,Bibb County,Heritage Elementary School,E,Bibb County,1063,58.94,68,6,18,0,2.8,81
Bibb County,Bibb County,Union Elementary School,E,Bibb County,944,89.35,95,1,2,0,0,353
Bibb County,Bibb County,Riley Elementary School,E,Bibb County,314,87.76,95,1,3,0,0,122
Bibb County,Bibb County,Brookdale Elementary School,E,Bibb County,324,86.1,94,1,3,0,0,66
Bibb County,Bibb County,Alexander II Magnet School,E,Bibb County,472,72.41,77,4,12,0,1.3,19
Bibb County,Bibb County,Bernd Elementary School,E,Bibb County,425,91.2,89,3,6,1,0,30
Bibb County,Bibb County,Porter Elementary School,E,Bibb County,389,77.14,28,34,32,0,23.4,13
Bibb County,Bibb County,Springdale Elementary School,E,Bibb County,573,66.75,47,4,38,0,4.5,37
Bibb County,Bibb County,Carter Elementary School,E,Bibb County,414,48.76,67,2,20,0,4.8,33
Bibb County,Bibb County,Lane Elementary School,E,Bibb County,407,81.8,76,5,11,0,3.2,48
Bibb County,Bibb County,Martin Luther King Jr Elementary School,E,Bibb County,668,66.33,95,1,2,0,0,172
Bibb County,Bibb County,Southfield Elementary School,E,Bibb County,833,63.93,85,9,3,0,6.4,333
Bibb County,Bibb County,Veterans Elementary School,E,Bibb County,747,66.33,84,10,3,0,6.4,231
Bibb County,Bibb County,Hartley Elementary School,E,Bibb County,446,94.4,97,1,1,0,0,71
Bibb County,Bibb County,Heard Elementary School,E,Bibb County,1703,63.19,35,8,52,0,2.5,39
Bibb County,Bibb County,Ingram/Pye Elementary School,E,Bibb County,404,52.54,98,1,1,0,0,67
Bibb County,Bibb County,Appling Middle School,M,Bibb County,616,92.81,93,1,3,0,0,390
Bleckley County,Bleckley County,Bleckley County High School,H,Bleckley County,678,50.88,24,4,68,0,0,40
Bleckley County,Bleckley County,Bleckley Middle School,M,Bleckley County,517,52.61,25,3,67,0,0,3
Bleckley County,Bleckley County,Bleckley County Success Academy,H,Bleckley County,49,93.88,27,2,65,0,0,70
Bleckley County,Bleckley County,Bleckley County Elementary School,E,Bleckley County,589,86.59,27,3,68,0,0,68
Bleckley County,Bleckley County,Bleckley County Primary School,E,Bleckley County,573,86.74,25,2,68,0,0,149
Brantley County,Brantley County,Waynesville Primary School,E,Brantley County,355,88.17,2,3,92,0,0.6,27
Brantley County,Brantley County,Atkinson Elementary School,E,Brantley County,1076,88.19,4,3,91,0,0.4,18
Brantley County,Brantley County,Brantley County Middle School,M,Brantley County,489,88.34,3,4,90,0,0.2,34
Brantley County,Brantley County,Nahunta Elementary School,E,Brantley County,281,88.26,5,4,88,0,0.7,24
Brantley County,Brantley County,Brantley County High School,H,Brantley County,988,68.12,3,2,94,0,0.5,123
Brantley County,Brantley County,Hoboken Elementary School,E,Brantley County,512,88.28,3,3,90,0,1.2,57
Brantley County,Brantley County,Nahunta Primary School,E,Brantley County,379,88.13,4,1,93,0,0.5,34
Brooks County,Brooks County,Brooks County High School,H,Brooks County,486,92.97,52,12,32,1,1.4,28
Brooks County,Brooks County,Quitman Elementary School,E,Brooks County,617,83.61,69,11,18,2,8.3,93
Brooks County,Brooks County,Brooks County Middle School,M,Brooks County,471,86.71,52,12,33,2,1.1,53
Brooks County,Brooks County,North Brooks Elementary School,E,Brooks County,379,94.25,29,8,59,2,5.5,12
Brooks County,Brooks County,Delta Innovative School,H,Brooks County,103,92.19,66,5,25,0,0,3
Brooks County,Brooks County,Brooks County Early Learning Center,E,Brooks County,599,94.39,90,2,8,0,4.2,0
Bryan County,Bryan County,Dr. George Washington Carver Elementary School,E,Bryan County,772,35.23,20,11,60,0,2.8,67
Bryan County,Bryan County,Richmond Hill High School,H,Bryan County,2272,23.64,16,10,64,0,0.5,256
Bryan County,Bryan County,Richmond Hill Middle School,M,Bryan County,1755,26.95,14,10,66,0,0.7,93
Bryan County,Bryan County,Richmond Hill Primary School,E,Bryan County,669,31.99,13,10,66,0,2.2,62
Bryan County,Bryan County,Lanier Primary School,E,Bryan County,452,69.03,18,3,74,0,1.1,44
Bryan County,Bryan County,Bryan County Elementary School,E,Bryan County,452,69.91,22,3,69,0,0.7,17
Bryan County,Bryan County,Richmond Hill Elementary School,E,Bryan County,682,35.19,15,12,64,0,2.1,24
Bryan County,Bryan County,Bryan County Middle School,M,Bryan County,481,69.44,24,4,67,0,0.2,170
Bryan County,Bryan County,Bryan County High School,H,Bryan County,563,62.88,24,3,67,0,0.2,100
Bryan County,Bryan County,McAllister Elementary School,E,Bryan County,1225,6.04,6,7,79,0,0.4,38
Bulloch County,Bulloch County,Mill Creek Elementary School,E,Bulloch County,586,73.38,60,7,27,1,2.9,62
Bulloch County,Bulloch County,Nevils Elementary School,E,Bulloch County,409,46.45,14,6,78,0,2.4,5
Bulloch County,Bulloch County,William James Middle School,M,Bulloch County,651,58.53,50,5,40,0,0.5,131
Bulloch County,Bulloch County,Langston Chapel Elementary School,E,Bulloch County,536,90.86,57,17,22,2,9,81
Bulloch County,Bulloch County,Brooklet Elementary School,E,Bulloch County,688,36.77,10,5,78,0,1.3,14
Bulloch County,Bulloch County,Southeast Bulloch High School,H,Bulloch County,1031,38.8,11,5,80,0,0.2,64
Bulloch County,Bulloch County,Langston Chapel Middle School,M,Bulloch County,710,79.58,66,10,21,1,1,212
Bulloch County,Bulloch County,Southeast Bulloch Middle School,M,Bulloch County,812,43.84,11,4,81,0,0.5,33
Bulloch County,Bulloch County,Portal Elementary School,E,Bulloch County,347,72.62,26,8,59,1,2.6,23
Bulloch County,Bulloch County,Julia P. Bryant Elementary School,E,Bulloch County,657,52.82,42,5,45,1,2.9,62
Bulloch County,Bulloch County,Statesboro High School,H,Bulloch County,1640,57.44,49,8,38,1,1.5,411
Bulloch County,Bulloch County,Stilson Elementary School,E,Bulloch County,346,56.65,4,5,87,0,1.2,13
Bulloch County,Bulloch County,Portal Middle/High School,H,Bulloch County,441,61,32,6,59,0,0.5,32
Bulloch County,Bulloch County,Mattie Lively Elementary School,E,Bulloch County,586,79.52,57,7,31,1,2.6,46
Bulloch County,Bulloch County,Sallie Zetterower Elementary School,E,Bulloch County,702,66.67,48,9,32,1,3.8,32
Burke County,Burke County,Blakeney Elementary,E,Burke County,762,51.39,67,4,24,0,0,15
Burke County,Burke County,Burke County Middle School,M,Burke County,957,63.38,63,4,28,0,0,417
Burke County,Burke County,S G A Elementary School,E,Burke County,230,47.27,55,2,38,1,0,16
Burke County,Burke County,Burke County High School,H,Burke County,1207,63.77,63,3,30,0,0,358
Burke County,Burke County,Waynesboro Primary School,E,Burke County,736,92.95,63,5,28,0,0,7
Butts County,Butts County,Henderson Middle School,M,Butts County,2320,88.61,33,5,56,0,0.2,439
Butts County,Butts County,Hampton L. Daughtry Elementary School,E,Butts County,470,88.51,31,8,57,0,0.2,80
Butts County,Butts County,Stark Elementary School,E,Butts County,552,88.59,27,1,65,0,0,79
Butts County,Butts County,Jackson Elementary School,E,Butts County,3278,88.61,40,5,47,0,2.9,80
Butts County,Butts County,Jackson High School,H,Butts County,981,88.58,32,3,61,0,0.2,286
Calhoun County,Calhoun County,Calhoun County High School,H,Calhoun County,181,90.12,98,1,1,1,0,47
Calhoun County,Calhoun County,Calhoun County Elementary School,E,Calhoun County,212,86.1,90,5,2,1,0,5
Calhoun County,Calhoun County,Calhoun County Middle School,M,Calhoun County,137,42.86,94,3,3,0,0,48
Camden County,Camden County,Mamie Lou Gross Elementary School,E,Camden County,514,59.73,31,6,54,0,0.8,94
Camden County,Camden County,Saint Marys Middle School,M,Camden County,1020,44.12,20,11,60,0,0.6,124
Camden County,Camden County,Saint Marys Elementary School,E,Camden County,619,52.34,20,9,62,0,0.8,17
Camden County,Camden County,Camden Middle School,M,Camden County,1046,52.87,23,7,60,0,0.7,172
Camden County,Camden County,Crooked River Elementary School,E,Camden County,550,46.91,19,14,58,0,2.5,39
Camden County,Camden County,Matilda Harris Elementary School,E,Camden County,560,46.25,24,12,53,0,0.7,69
Camden County,Camden County,Woodbine Elementary School,E,Camden County,389,65.3,24,2,66,0,0.3,45
Camden County,Camden County,Kingsland Elementary School,E,Camden County,410,53.9,13,9,66,0,0.7,13
Camden County,Camden County,David L Rainer Elementary School,E,Camden County,424,54.48,21,8,61,0,0,17
Camden County,Camden County,Sugarmill Elementary,E,Camden County,537,36.69,15,9,67,0,0.7,19
Camden County,Camden County,Camden County High School,H,Camden County,2504,40.3,23,8,60,0,0.4,288
Camden County,Camden County,Mary Lee Clark Elementary School,E,Camden County,519,51.06,25,9,55,0,1.3,7
Candler County,Candler County,Metter High School,H,Candler County,609,89.98,28,19,51,3,2.6,68
Candler County,Candler County,Metter Middle School,M,Candler County,504,90.08,34,22,40,3,2,135
Candler County,Candler County,Metter Elementary School,E,Candler County,990,90,27,21,46,3,4.2,156
Carroll County,Carroll County,Sharp Creek Elementary School,E,Carroll County,525,78.1,22,15,54,0,5.9,37
Carroll County,Carroll County,Bowdon Middle School,M,Carroll County,288,64.24,9,8,74,0,0.7,23
Carroll County,Carroll County,Temple Middle School,M,Carroll County,492,69.51,15,6,70,0,0.6,72
Carroll County,Carroll County,KidsPeace,H,Carroll County,61,74.21,49,2,46,0,1.6,0
Carroll County,Carroll County,Providence Elementary School,E,Carroll County,422,58.06,5,6,81,0,1.2,17
Carroll County,Carroll County,Mount Zion Elementary School,E,Carroll County,1285,77.16,8,16,68,0,7.3,33
Carroll County,Carroll County,Central Middle School,M,Carroll County,953,51.21,10,10,75,0,2.7,77
Carroll County,Carroll County,Temple High School,H,Carroll County,627,57.26,14,7,72,0,0.3,92
Carroll County,Carroll County,Bay Springs Middle School,M,Carroll County,861,56.91,21,11,60,0,1.9,140
Carroll County,Carroll County,Mt. Zion Middle School,M,Carroll County,344,70.06,8,12,74,0,0.9,41
Carroll County,Carroll County,Mt. Zion High School,H,Carroll County,422,63.27,9,10,73,0,1.9,47
Carroll County,Carroll County,Villa Rica Middle,M,Carroll County,508,66.93,31,9,52,0,1.8,136
Carroll County,Carroll County,Roopville Elementary School,E,Carroll County,365,44.66,6,5,84,0,1.1,8
Carroll County,Carroll County,Ithica Elementary,E,Carroll County,712,50,24,11,58,0,3.4,8
Carroll County,Carroll County,Whitesburg Elementary School,E,Carroll County,366,63.11,6,7,81,0,1.1,11
Carroll County,Carroll County,Glanton-Hindsman Elementary,E,Carroll County,597,61.98,28,8,55,0,1.8,78
Carroll County,Carroll County,Villa Rica Elementary School,E,Carroll County,416,72.6,23,14,54,0,5.5,15
Carroll County,Carroll County,Temple Elementary School,E,Carroll County,538,65.61,22,6,65,0,2.8,63
Carroll County,Carroll County,Bowdon Elementary School,E,Carroll County,582,63.4,13,6,71,0,1.9,55
Carroll County,Carroll County,Central High School,H,Carroll County,2217,48.34,12,9,73,0,1.5,86
Carroll County,Carroll County,Bowdon High School,H,Carroll County,412,52.18,12,6,75,0,0.5,54
Carroll County,Carroll County,Central Elementary School,E,Carroll County,907,44.98,12,11,71,0,5.4,44
Carroll County,Carroll County,Sand Hill Elementary School,E,Carroll County,1241,55.07,16,7,68,0,2.9,10
Carroll County,Carroll County,Villa Rica High School,H,Carroll County,1637,54.67,26,10,56,0,1.2,128
Catoosa County,Catoosa County,Ringgold Primary School,E,Catoosa County,468,47.86,1,2,90,0,1.1,1
Catoosa County,Catoosa County,Battlefield Primary,E,Catoosa County,449,55.46,2,4,82,0,4.5,12
Catoosa County,Catoosa County,Battlefield Elementary School,E,Catoosa County,487,55.03,5,4,83,0,2.5,7
Catoosa County,Catoosa County,Woodstation Elementary School,E,Catoosa County,381,41.21,1,3,94,0,0.3,2
Catoosa County,Catoosa County,Heritage High School,H,Catoosa County,3135,26.37,2,2,91,0,0.1,52
Catoosa County,Catoosa County,Tiger Creek Elementary School,E,Catoosa County,443,63.43,1,4,91,0,2.3,10
Catoosa County,Catoosa County,Heritage Middle School,M,Catoosa County,935,35.83,2,4,90,0,0,14
Catoosa County,Catoosa County,Boynton Elementary School,E,Catoosa County,589,34.3,2,3,90,0,0.3,4
Catoosa County,Catoosa County,Lakeview-Fort Oglethorpe High School,H,Catoosa County,980,60.51,7,8,78,0,1.5,36
Catoosa County,Catoosa County,West Side Elementary School,E,Catoosa County,984,75.05,4,10,78,0,4.1,2
Catoosa County,Catoosa County,Lakeview Middle School,M,Catoosa County,798,69.8,6,8,80,0,1.3,71
Catoosa County,Catoosa County,Cloud Springs Elementary School,E,Catoosa County,357,75.63,3,3,88,0,0.6,9
Catoosa County,Catoosa County,Ringgold Elementary School,E,Catoosa County,459,47.28,2,2,91,0,0.4,9
Catoosa County,Catoosa County,Ringgold High School,H,Catoosa County,1046,36.52,2,4,90,0,0.6,26
Catoosa County,Catoosa County,Graysville Elementary School,E,Catoosa County,513,42.11,3,4,86,0,1.6,1
Catoosa County,Catoosa County,Ringgold Middle School,M,Catoosa County,780,48.59,2,4,89,0,0.8,17
Charlton County,Charlton County,Bethune Middle School,M,Charlton County,590,75.08,33,3,56,0,0,165
Charlton County,Charlton County,Folkston Elementary School,E,Charlton County,456,69.96,34,2,56,0,0.4,46
Charlton County,Charlton County,Charlton County High School,H,Charlton County,425,60.47,31,2,60,0,0,35
Charlton County,Charlton County,St. George Elementary School,E,Charlton County,157,75.8,1,3,89,0,0,16
Savannah-Chatham County,Savannah-Chatham County,Johnson High School,H,Savannah-Chatham County,2212,73.22,88,4,5,0,0.6,125
Savannah-Chatham County,Savannah-Chatham County,UHS of Savannah Coastal Harbor Treatment Center,H,Savannah-Chatham County,53,16.98,38,6,51,0,0,0
Savannah-Chatham County,Savannah-Chatham County,Coastal Empire Montessori Charter School,E,Savannah-Chatham County,251,64.54,46,9,36,0,0,22
Savannah-Chatham County,Savannah-Chatham County,Woodville-Tompkins Technical and Career High School,H,Savannah-Chatham County,661,64.75,67,13,10,0,0,51
Savannah-Chatham County,Savannah-Chatham County,Pulaski Elementary SChool,E,Savannah-Chatham County,599,67.28,48,24,23,0,4.7,41
Savannah-Chatham County,Savannah-Chatham County,New Hampstead High School,H,Savannah-Chatham County,1327,45.14,51,13,28,0,1.5,262
Savannah-Chatham County,Savannah-Chatham County,Oglethorpe Charter School,M,Savannah-Chatham County,604,63.74,66,6,19,0,0,100
Savannah-Chatham County,Savannah-Chatham County,The STEM Academy at Bartlett,M,Savannah-Chatham County,695,33.81,26,11,48,0,0,36
Savannah-Chatham County,Savannah-Chatham County,Tybee Island Maritime Academy School,E,Savannah-Chatham County,284,27.82,12,4,81,0,0,2
Savannah-Chatham County,Savannah-Chatham County,Savannah Classical Academy Charter School,E,Savannah-Chatham County,266,75.56,81,4,9,0,0,153
Savannah-Chatham County,Savannah-Chatham County,East Broad Street School,E,Savannah-Chatham County,518,94.98,95,1,2,0,2.3,291
Savannah-Chatham County,Savannah-Chatham County,Esther F. Garrison School for the Arts,E,Savannah-Chatham County,756,41.53,44,8,36,0,0,17
Savannah-Chatham County,Savannah-Chatham County,Georgetown School,E,Savannah-Chatham County,740,62.7,51,8,31,0,0.1,43
Savannah-Chatham County,Savannah-Chatham County,Garden City Elementary School,E,Savannah-Chatham County,426,86.62,25,59,12,0,39,3
Savannah-Chatham County,Savannah-Chatham County,West Chatham Middle School,M,Savannah-Chatham County,918,78.21,49,20,22,0,2.8,167
Savannah-Chatham County,Savannah-Chatham County,West Chatham Elementary School,E,Savannah-Chatham County,750,53.47,50,11,29,0,0.1,36
Savannah-Chatham County,Savannah-Chatham County,DeRenne Middle School,M,Savannah-Chatham County,664,89.91,96,2,2,0,0.6,191
Savannah-Chatham County,Savannah-Chatham County,The School of Liberal Studies at Savannah High,H,Savannah-Chatham County,521,80.42,94,1,3,0,0.2,393
Savannah-Chatham County,Savannah-Chatham County,Godley Station School,E,Savannah-Chatham County,1708,36.36,39,11,35,0,4.7,101
Savannah-Chatham County,Savannah-Chatham County,Marshpoint Elementary School,E,Savannah-Chatham County,786,45.04,31,5,52,0,1.8,7
Savannah-Chatham County,Savannah-Chatham County,Southwest Middle School,M,Savannah-Chatham County,815,76.44,65,15,12,0,2.3,281
Savannah-Chatham County,Savannah-Chatham County,Southwest Elementary School,E,Savannah-Chatham County,736,73.64,53,20,19,0,2.2,47
Savannah-Chatham County,Savannah-Chatham County,Myers Middle School,M,Savannah-Chatham County,525,86.1,87,5,4,0,1.9,279
Savannah-Chatham County,Savannah-Chatham County,Coastal Middle School,M,Savannah-Chatham County,727,39.2,28,6,57,0,0.1,87
Savannah-Chatham County,Savannah-Chatham County,Islands High School,H,Savannah-Chatham County,1016,30.31,18,7,65,0,0.1,54
Savannah-Chatham County,Savannah-Chatham County,Savannah Arts Academy,H,Savannah-Chatham County,949,12.12,13,6,65,0,0,6
Savannah-Chatham County,Savannah-Chatham County,Shuman Elementary School,E,Savannah-Chatham County,657,87.82,85,8,4,0,6.5,13
Savannah-Chatham County,Savannah-Chatham County,Rice Creek School,E,Savannah-Chatham County,825,74.06,61,14,19,0,4.5,224
Savannah-Chatham County,Savannah-Chatham County,Savannah Early College High School,H,Savannah-Chatham County,239,53.56,74,13,8,0,0,7
Savannah-Chatham County,Savannah-Chatham County,School of Humanities at Juliette Gordon Low,E,Savannah-Chatham County,720,85.97,87,2,7,0,1,143
Savannah-Chatham County,Savannah-Chatham County,Susie King Taylor Community School,E,Savannah-Chatham County,214,60.75,52,2,38,0,0,10
Savannah-Chatham County,Savannah-Chatham County,Savannah Classical Academy Charter High School,H,Savannah-Chatham County,45,75.56,76,2,9,0,0,32
Savannah-Chatham County,Savannah-Chatham County,Otis J Brock III Elementary School,E,Savannah-Chatham County,469,85.92,93,3,2,0,1.3,18
Savannah-Chatham County,Savannah-Chatham County,Gadsden Elementary School,E,Savannah-Chatham County,532,92.33,97,0,1,0,0,232
Savannah-Chatham County,Savannah-Chatham County,Heard Elementary School,E,Savannah-Chatham County,1703,58.33,61,7,25,0,0.7,13
Savannah-Chatham County,Savannah-Chatham County,Howard Elementary School,E,Savannah-Chatham County,576,34.03,7,3,81,0,3.1,9
Savannah-Chatham County,Savannah-Chatham County,White Bluff Elementary School,E,Savannah-Chatham County,560,82.5,73,8,10,0,6.1,37
Savannah-Chatham County,Savannah-Chatham County,Beach High School,H,Savannah-Chatham County,1004,74.5,86,6,5,0,2,337
Savannah-Chatham County,Savannah-Chatham County,Gould Elementary School,E,Savannah-Chatham County,723,82.16,38,29,22,0,19.8,104
Savannah-Chatham County,Savannah-Chatham County,Hubert Middle School,M,Savannah-Chatham County,452,89.6,92,2,3,0,1.1,287
Savannah-Chatham County,Savannah-Chatham County,Largo-Tibet Elementary School,E,Savannah-Chatham County,602,81.89,72,10,10,0,4.5,126
Savannah-Chatham County,Savannah-Chatham County,Andrea B Williams Elementary School,E,Savannah-Chatham County,510,88.95,94,1,1,0,0.4,77
Savannah-Chatham County,Savannah-Chatham County,Groves High School,H,Savannah-Chatham County,689,85.49,71,19,6,0,3.5,163
Savannah-Chatham County,Savannah-Chatham County,Isle of Hope School,E,Savannah-Chatham County,774,77,68,4,22,0,0.4,339
Savannah-Chatham County,Savannah-Chatham County,Pooler Elementary School,E,Savannah-Chatham County,420,65,32,20,38,0,11.9,34
